maintenance_id,vehicle_id,detection_date,maintenance_date,component,issue_detected,maintenance_type,repair_duration_hours,cost_usd,parts_replaced,workshop_id,technician_id,severity,downtime_hours,odometer_reading,description
MNT-00023,EV-00053,2025-01-16 16:35:08.892689,2025-01-21 16:35:08.892689,Brake,Regenerative Braking Failure,Corrective,23,4970,False,WS-007,TECH-027,Medium,27,12632,Resolved Regenerative Braking Failure in Brake system
MNT-00124,EV-00074,2025-01-18 16:35:08.893501,2025-01-24 16:35:08.893501,Brake,Hydraulic Leak,Preventive,3,308,True,WS-007,TECH-039,Critical,26,17804,Resolved Hydraulic Leak in Brake system
MNT-00111,EV-00024,2025-01-19 16:35:08.893397,2025-01-26 16:35:08.893397,Tire,Low Pressure,Predictive,5,2182,True,WS-002,TECH-007,Critical,4,13006,Resolved Low Pressure in Tire system
MNT-00104,EV-00049,2025-01-20 16:35:08.893335,2025-01-23 16:35:08.893335,Power Electronics,Inverter Overheating,Predictive,12,1294,False,WS-009,TECH-014,High,41,59343,Resolved Inverter Overheating in Power Electronics system
MNT-00001,EV-00007,2025-01-22 16:35:08.892442,2025-01-26 16:35:08.892442,Suspension,Shock Absorber Failure,Corrective,15,1037,False,WS-004,TECH-041,Low,24,47082,Resolved Shock Absorber Failure in Suspension system
MNT-00100,EV-00032,2025-01-22 16:35:08.893304,2025-01-24 16:35:08.893304,Charging,Onboard Charger Fault,Preventive,6,1133,True,WS-010,TECH-031,Critical,34,113857,Resolved Onboard Charger Fault in Charging system
MNT-00050,EV-00093,2025-01-23 16:35:08.892904,2025-01-25 16:35:08.892904,Motor,Rotor Imbalance,Preventive,5,3729,False,WS-010,TECH-045,Medium,2,5927,Resolved Rotor Imbalance in Motor system
MNT-00056,EV-00069,2025-01-25 16:35:08.892953,2025-02-01 16:35:08.892953,Battery,Thermal Runaway Risk,Preventive,12,247,True,WS-004,TECH-009,Low,39,93276,Resolved Thermal Runaway Risk in Battery system
MNT-00093,EV-00026,2025-01-25 16:35:08.893249,2025-02-01 16:35:08.893249,Charging,Onboard Charger Fault,Predictive,24,2909,True,WS-006,TECH-028,Medium,37,113737,Resolved Onboard Charger Fault in Charging system
MNT-00086,EV-00024,2025-01-26 16:35:08.893194,2025-02-02 16:35:08.893194,Brake,Regenerative Braking Failure,Preventive,3,3285,False,WS-001,TECH-002,Low,17,94407,Resolved Regenerative Braking Failure in Brake system
MNT-00142,EV-00100,2025-01-28 16:35:08.893645,2025-02-04 16:35:08.893645,Power Electronics,Inverter Overheating,Preventive,14,2116,False,WS-005,TECH-012,Critical,31,128435,Resolved Inverter Overheating in Power Electronics system
MNT-00127,EV-00020,2025-01-29 16:35:08.893525,2025-01-30 16:35:08.893525,Drivetrain,Gear Reduction Unit Wear,Preventive,22,2948,False,WS-007,TECH-013,Critical,27,11830,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00175,EV-00012,2025-01-30 16:35:08.893906,2025-02-02 16:35:08.893906,Power Electronics,Inverter Overheating,Corrective,5,1940,True,WS-004,TECH-012,Critical,6,46982,Resolved Inverter Overheating in Power Electronics system
MNT-00066,EV-00080,2025-02-01 16:35:08.893033,2025-02-08 16:35:08.893033,Battery,Thermal Runaway Risk,Predictive,1,2040,True,WS-006,TECH-020,Low,24,107721,Resolved Thermal Runaway Risk in Battery system
MNT-00146,EV-00061,2025-02-04 16:35:08.893678,2025-02-10 16:35:08.893678,Drivetrain,Gear Reduction Unit Wear,Corrective,16,242,False,WS-004,TECH-022,Medium,30,111722,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00147,EV-00024,2025-02-05 16:35:08.893686,2025-02-10 16:35:08.893686,Motor,Winding Insulation Failure,Preventive,16,758,False,WS-001,TECH-001,Low,48,12637,Resolved Winding Insulation Failure in Motor system
MNT-00030,EV-00038,2025-02-06 16:35:08.892745,2025-02-12 16:35:08.892745,Cooling,Radiator Blockage,Preventive,13,1144,True,WS-006,TECH-047,Critical,13,35393,Resolved Radiator Blockage in Cooling system
MNT-00186,EV-00012,2025-02-06 16:35:08.893992,2025-02-11 16:35:08.893992,Cooling,Coolant Pump Failure,Preventive,3,3324,False,WS-003,TECH-019,Medium,44,144898,Resolved Coolant Pump Failure in Cooling system
MNT-00107,EV-00006,2025-02-09 16:35:08.893365,2025-02-13 16:35:08.893365,Suspension,Shock Absorber Failure,Preventive,22,3308,False,WS-007,TECH-021,Medium,43,16885,Resolved Shock Absorber Failure in Suspension system
MNT-00112,EV-00027,2025-02-09 16:35:08.893407,2025-02-16 16:35:08.893407,Battery,Thermal Runaway Risk,Corrective,11,3717,True,WS-008,TECH-046,Low,19,119689,Resolved Thermal Runaway Risk in Battery system
MNT-00080,EV-00012,2025-02-10 16:35:08.893146,2025-02-12 16:35:08.893146,Motor,Bearing Wear,Preventive,19,2628,False,WS-002,TECH-017,Critical,42,102792,Resolved Bearing Wear in Motor system
MNT-00173,EV-00028,2025-02-12 16:35:08.893890,2025-02-19 16:35:08.893890,Suspension,Shock Absorber Failure,Predictive,24,4748,True,WS-003,TECH-004,Medium,12,109971,Resolved Shock Absorber Failure in Suspension system
MNT-00122,EV-00057,2025-02-14 16:35:08.893485,2025-02-20 16:35:08.893485,Motor,Winding Insulation Failure,Preventive,6,4347,True,WS-002,TECH-041,Medium,23,27008,Resolved Winding Insulation Failure in Motor system
MNT-00191,EV-00019,2025-02-15 16:35:08.894031,2025-02-17 16:35:08.894031,Battery,Cell Imbalance,Predictive,18,2971,True,WS-005,TECH-018,Medium,31,42014,Resolved Cell Imbalance in Battery system
MNT-00170,EV-00033,2025-02-18 16:35:08.893867,2025-02-25 16:35:08.893867,Power Electronics,Inverter Overheating,Predictive,12,892,False,WS-009,TECH-008,Medium,35,85129,Resolved Inverter Overheating in Power Electronics system
MNT-00117,EV-00059,2025-02-19 16:35:08.893446,2025-02-21 16:35:08.893446,Tire,Low Pressure,Preventive,2,3394,False,WS-002,TECH-039,Medium,10,74495,Resolved Low Pressure in Tire system
MNT-00149,EV-00088,2025-02-19 16:35:08.893702,2025-02-21 16:35:08.893702,Battery,Rapid SoH Degradation,Corrective,15,4355,True,WS-005,TECH-041,Critical,1,68170,Resolved Rapid SoH Degradation in Battery system
MNT-00054,EV-00089,2025-02-21 16:35:08.892937,2025-02-28 16:35:08.892937,Battery,Cell Imbalance,Corrective,15,2266,False,WS-009,TECH-024,High,0,18468,Resolved Cell Imbalance in Battery system
MNT-00188,EV-00047,2025-02-21 16:35:08.894007,2025-02-26 16:35:08.894007,BMS,Communication Error,Preventive,6,2296,False,WS-002,TECH-004,Medium,5,105115,Resolved Communication Error in BMS system
MNT-00164,EV-00037,2025-02-25 16:35:08.893819,2025-02-26 16:35:08.893819,Brake,Pad Wear Critical,Corrective,7,414,True,WS-004,TECH-016,Low,8,139775,Resolved Pad Wear Critical in Brake system
MNT-00055,EV-00082,2025-03-02 16:35:08.892945,2025-03-09 16:35:08.892945,Tire,Low Pressure,Predictive,8,4800,True,WS-010,TECH-031,High,6,87350,Resolved Low Pressure in Tire system
MNT-00088,EV-00004,2025-03-02 16:35:08.893210,2025-03-04 16:35:08.893210,Charging,Onboard Charger Fault,Corrective,15,1087,False,WS-001,TECH-010,Low,26,44703,Resolved Onboard Charger Fault in Charging system
MNT-00039,EV-00013,2025-03-07 16:35:08.892817,2025-03-14 16:35:08.892817,Charging,Onboard Charger Fault,Predictive,24,4643,False,WS-004,TECH-015,Medium,16,106694,Resolved Onboard Charger Fault in Charging system
MNT-00008,EV-00048,2025-03-08 16:35:08.892557,2025-03-13 16:35:08.892557,Charging,Onboard Charger Fault,Preventive,13,3882,True,WS-005,TECH-018,Low,11,143595,Resolved Onboard Charger Fault in Charging system
MNT-00063,EV-00015,2025-03-08 16:35:08.893009,2025-03-14 16:35:08.893009,Power Electronics,Inverter Overheating,Corrective,12,2423,True,WS-005,TECH-041,Medium,27,142539,Resolved Inverter Overheating in Power Electronics system
MNT-00113,EV-00079,2025-03-09 16:35:08.893415,2025-03-16 16:35:08.893415,Motor,Winding Insulation Failure,Corrective,21,2342,True,WS-002,TECH-025,High,37,50210,Resolved Winding Insulation Failure in Motor system
MNT-00134,EV-00091,2025-03-09 16:35:08.893580,2025-03-16 16:35:08.893580,Battery,Cell Imbalance,Corrective,14,1356,True,WS-006,TECH-042,High,18,61461,Resolved Cell Imbalance in Battery system
MNT-00025,EV-00055,2025-03-13 16:35:08.892705,2025-03-17 16:35:08.892705,Suspension,Shock Absorber Failure,Corrective,14,3954,False,WS-001,TECH-042,High,14,43004,Resolved Shock Absorber Failure in Suspension system
MNT-00130,EV-00023,2025-03-14 16:35:08.893550,2025-03-16 16:35:08.893550,Cooling,Radiator Blockage,Preventive,17,2709,True,WS-009,TECH-010,High,43,67591,Resolved Radiator Blockage in Cooling system
MNT-00132,EV-00092,2025-03-15 16:35:08.893565,2025-03-22 16:35:08.893565,Power Electronics,DC-DC Converter Failure,Predictive,12,4528,False,WS-008,TECH-050,Low,21,102425,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00099,EV-00033,2025-03-17 16:35:08.893297,2025-03-23 16:35:08.893297,Cooling,Coolant Pump Failure,Preventive,11,3635,False,WS-007,TECH-013,Critical,3,9576,Resolved Coolant Pump Failure in Cooling system
MNT-00061,EV-00034,2025-03-18 16:35:08.892993,2025-03-23 16:35:08.892993,Power Electronics,Inverter Overheating,Preventive,12,1929,False,WS-005,TECH-034,Medium,12,37160,Resolved Inverter Overheating in Power Electronics system
MNT-00091,EV-00010,2025-03-22 16:35:08.893234,2025-03-25 16:35:08.893234,Power Electronics,Inverter Overheating,Preventive,14,3595,False,WS-008,TECH-034,Low,33,96606,Resolved Inverter Overheating in Power Electronics system
MNT-00177,EV-00076,2025-03-22 16:35:08.893921,2025-03-26 16:35:08.893921,Battery,Thermal Runaway Risk,Preventive,7,4884,True,WS-003,TECH-033,Critical,31,81744,Resolved Thermal Runaway Risk in Battery system
MNT-00048,EV-00028,2025-04-03 16:35:08.892888,2025-04-10 16:35:08.892888,Cooling,Radiator Blockage,Corrective,15,1271,True,WS-007,TECH-004,Critical,11,144836,Resolved Radiator Blockage in Cooling system
MNT-00196,EV-00031,2025-04-03 16:35:08.894074,2025-04-04 16:35:08.894074,Power Electronics,DC-DC Converter Failure,Corrective,12,1305,True,WS-009,TECH-007,Medium,46,108436,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00185,EV-00060,2025-04-04 16:35:08.893984,2025-04-11 16:35:08.893984,Suspension,Spring Fatigue,Corrective,14,708,False,WS-005,TECH-042,Medium,44,48940,Resolved Spring Fatigue in Suspension system
MNT-00077,EV-00038,2025-04-05 16:35:08.893122,2025-04-07 16:35:08.893122,Tire,Low Pressure,Predictive,17,1198,False,WS-001,TECH-009,Low,48,40358,Resolved Low Pressure in Tire system
MNT-00152,EV-00053,2025-04-05 16:35:08.893725,2025-04-09 16:35:08.893725,Battery,Thermal Runaway Risk,Preventive,5,1040,True,WS-004,TECH-022,Critical,7,22764,Resolved Thermal Runaway Risk in Battery system
MNT-00181,EV-00084,2025-04-06 16:35:08.893953,2025-04-07 16:35:08.893953,Brake,Hydraulic Leak,Preventive,15,3606,True,WS-007,TECH-047,Low,41,139948,Resolved Hydraulic Leak in Brake system
MNT-00121,EV-00010,2025-04-13 16:35:08.893477,2025-04-20 16:35:08.893477,Suspension,Spring Fatigue,Predictive,4,4227,True,WS-004,TECH-007,Low,0,102802,Resolved Spring Fatigue in Suspension system
MNT-00065,EV-00097,2025-04-14 16:35:08.893024,2025-04-16 16:35:08.893024,Battery,Thermal Runaway Risk,Preventive,9,753,True,WS-001,TECH-002,High,15,75174,Resolved Thermal Runaway Risk in Battery system
MNT-00082,EV-00046,2025-04-15 16:35:08.893162,2025-04-17 16:35:08.893162,Tire,Low Pressure,Predictive,20,2043,False,WS-002,TECH-048,Medium,36,51399,Resolved Low Pressure in Tire system
MNT-00126,EV-00009,2025-04-15 16:35:08.893517,2025-04-16 16:35:08.893517,Suspension,Shock Absorber Failure,Preventive,13,688,True,WS-006,TECH-019,Critical,1,102880,Resolved Shock Absorber Failure in Suspension system
MNT-00160,EV-00061,2025-04-18 16:35:08.893787,2025-04-25 16:35:08.893787,Suspension,Spring Fatigue,Preventive,9,1402,True,WS-006,TECH-001,Low,46,28823,Resolved Spring Fatigue in Suspension system
MNT-00139,EV-00049,2025-04-23 16:35:08.893621,2025-04-30 16:35:08.893621,BMS,Communication Error,Predictive,1,4995,False,WS-001,TECH-031,Medium,8,105914,Resolved Communication Error in BMS system
MNT-00004,EV-00085,2025-04-28 16:35:08.892504,2025-05-05 16:35:08.892504,Battery,Thermal Runaway Risk,Preventive,20,324,True,WS-004,TECH-041,High,48,40736,Resolved Thermal Runaway Risk in Battery system
MNT-00154,EV-00084,2025-04-28 16:35:08.893741,2025-05-01 16:35:08.893741,Battery,Rapid SoH Degradation,Corrective,24,4318,False,WS-001,TECH-015,Critical,30,66176,Resolved Rapid SoH Degradation in Battery system
MNT-00106,EV-00012,2025-04-29 16:35:08.893351,2025-05-04 16:35:08.893351,Drivetrain,Gear Reduction Unit Wear,Corrective,7,3190,True,WS-004,TECH-024,Medium,2,32963,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00192,EV-00008,2025-04-29 16:35:08.894042,2025-05-03 16:35:08.894042,Power Electronics,Inverter Overheating,Corrective,11,1779,True,WS-010,TECH-023,Medium,13,140857,Resolved Inverter Overheating in Power Electronics system
MNT-00047,EV-00089,2025-04-30 16:35:08.892880,2025-05-02 16:35:08.892880,Suspension,Shock Absorber Failure,Predictive,2,4983,True,WS-002,TECH-040,Critical,37,129493,Resolved Shock Absorber Failure in Suspension system
MNT-00059,EV-00007,2025-04-30 16:35:08.892977,2025-05-06 16:35:08.892977,Power Electronics,Inverter Overheating,Predictive,10,4953,False,WS-008,TECH-019,High,9,59191,Resolved Inverter Overheating in Power Electronics system
MNT-00141,EV-00091,2025-04-30 16:35:08.893637,2025-05-06 16:35:08.893637,Brake,Regenerative Braking Failure,Predictive,12,1527,True,WS-009,TECH-012,High,35,28703,Resolved Regenerative Braking Failure in Brake system
MNT-00005,EV-00089,2025-05-01 16:35:08.892514,2025-05-07 16:35:08.892514,Suspension,Shock Absorber Failure,Predictive,18,745,False,WS-004,TECH-021,Medium,12,22732,Resolved Shock Absorber Failure in Suspension system
MNT-00062,EV-00039,2025-05-02 16:35:08.893001,2025-05-08 16:35:08.893001,Charging,Onboard Charger Fault,Predictive,10,1377,False,WS-006,TECH-010,High,46,5454,Resolved Onboard Charger Fault in Charging system
MNT-00018,EV-00054,2025-05-04 16:35:08.892649,2025-05-06 16:35:08.892649,Brake,Hydraulic Leak,Corrective,22,2350,True,WS-001,TECH-041,Critical,36,112963,Resolved Hydraulic Leak in Brake system
MNT-00079,EV-00093,2025-05-04 16:35:08.893139,2025-05-05 16:35:08.893139,Tire,Low Pressure,Corrective,24,2623,True,WS-010,TECH-031,Low,48,128583,Resolved Low Pressure in Tire system
MNT-00144,EV-00076,2025-05-04 16:35:08.893661,2025-05-09 16:35:08.893661,Tire,Low Pressure,Predictive,22,4914,False,WS-003,TECH-017,High,29,104943,Resolved Low Pressure in Tire system
MNT-00076,EV-00063,2025-05-06 16:35:08.893114,2025-05-07 16:35:08.893114,Power Electronics,DC-DC Converter Failure,Preventive,22,1829,False,WS-002,TECH-020,Low,12,110994,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00089,EV-00041,2025-05-06 16:35:08.893218,2025-05-09 16:35:08.893218,Cooling,Coolant Pump Failure,Preventive,7,1381,True,WS-002,TECH-011,Low,44,46333,Resolved Coolant Pump Failure in Cooling system
MNT-00043,EV-00069,2025-05-10 16:35:08.892849,2025-05-13 16:35:08.892849,Battery,Cell Imbalance,Preventive,4,3347,True,WS-008,TECH-028,Low,8,111176,Resolved Cell Imbalance in Battery system
MNT-00052,EV-00091,2025-05-11 16:35:08.892920,2025-05-14 16:35:08.892920,Suspension,Shock Absorber Failure,Corrective,21,4626,True,WS-007,TECH-009,Critical,2,100290,Resolved Shock Absorber Failure in Suspension system
MNT-00183,EV-00001,2025-05-11 16:35:08.893968,2025-05-15 16:35:08.893968,Tire,Low Pressure,Predictive,7,354,False,WS-003,TECH-014,High,38,16454,Resolved Low Pressure in Tire system
MNT-00034,EV-00079,2025-05-17 16:35:08.892778,2025-05-20 16:35:08.892778,Suspension,Shock Absorber Failure,Predictive,19,2603,False,WS-002,TECH-044,Low,23,38644,Resolved Shock Absorber Failure in Suspension system
MNT-00009,EV-00054,2025-05-20 16:35:08.892571,2025-05-21 16:35:08.892571,Power Electronics,Inverter Overheating,Corrective,24,4608,True,WS-005,TECH-045,Low,8,107459,Resolved Inverter Overheating in Power Electronics system
MNT-00159,EV-00084,2025-05-21 16:35:08.893780,2025-05-25 16:35:08.893780,Charging,Onboard Charger Fault,Corrective,1,3389,True,WS-003,TECH-027,High,4,95650,Resolved Onboard Charger Fault in Charging system
MNT-00195,EV-00026,2025-05-24 16:35:08.894067,2025-05-30 16:35:08.894067,Tire,Uneven Wear,Predictive,13,2640,True,WS-009,TECH-013,Critical,37,130790,Resolved Uneven Wear in Tire system
MNT-00155,EV-00090,2025-05-25 16:35:08.893749,2025-05-27 16:35:08.893749,Motor,Winding Insulation Failure,Predictive,6,2936,False,WS-001,TECH-027,Medium,15,84638,Resolved Winding Insulation Failure in Motor system
MNT-00067,EV-00019,2025-05-26 16:35:08.893042,2025-05-28 16:35:08.893042,BMS,Communication Error,Preventive,17,4905,True,WS-010,TECH-046,High,5,16754,Resolved Communication Error in BMS system
MNT-00041,EV-00093,2025-05-30 16:35:08.892832,2025-06-04 16:35:08.892832,BMS,Communication Error,Preventive,8,4952,False,WS-001,TECH-042,High,31,144112,Resolved Communication Error in BMS system
MNT-00003,EV-00037,2025-05-31 16:35:08.892493,2025-06-06 16:35:08.892493,Motor,Rotor Imbalance,Preventive,19,590,True,WS-005,TECH-004,Low,1,79708,Resolved Rotor Imbalance in Motor system
MNT-00095,EV-00010,2025-06-08 16:35:08.893265,2025-06-13 16:35:08.893265,Brake,Hydraulic Leak,Predictive,20,466,False,WS-005,TECH-042,Critical,43,13237,Resolved Hydraulic Leak in Brake system
MNT-00166,EV-00036,2025-06-08 16:35:08.893835,2025-06-09 16:35:08.893835,Charging,Onboard Charger Fault,Preventive,13,919,False,WS-002,TECH-024,Low,13,52117,Resolved Onboard Charger Fault in Charging system
MNT-00135,EV-00070,2025-06-09 16:35:08.893589,2025-06-13 16:35:08.893589,Brake,Regenerative Braking Failure,Predictive,10,1245,False,WS-009,TECH-047,High,16,5180,Resolved Regenerative Braking Failure in Brake system
MNT-00013,EV-00043,2025-06-11 16:35:08.892608,2025-06-15 16:35:08.892608,Battery,Cell Imbalance,Preventive,10,1654,False,WS-003,TECH-040,Low,17,45426,Resolved Cell Imbalance in Battery system
MNT-00097,EV-00023,2025-06-12 16:35:08.893281,2025-06-15 16:35:08.893281,Battery,Cell Imbalance,Corrective,19,2939,True,WS-001,TECH-044,Critical,12,100570,Resolved Cell Imbalance in Battery system
MNT-00011,EV-00079,2025-06-14 16:35:08.892591,2025-06-15 16:35:08.892591,Motor,Winding Insulation Failure,Preventive,7,826,True,WS-006,TECH-010,High,11,55324,Resolved Winding Insulation Failure in Motor system
MNT-00032,EV-00087,2025-06-20 16:35:08.892761,2025-06-22 16:35:08.892761,Brake,Hydraulic Leak,Corrective,11,563,True,WS-003,TECH-038,Critical,17,104180,Resolved Hydraulic Leak in Brake system
MNT-00194,EV-00092,2025-06-21 16:35:08.894058,2025-06-22 16:35:08.894058,Suspension,Spring Fatigue,Preventive,6,3200,True,WS-005,TECH-042,Critical,17,6795,Resolved Spring Fatigue in Suspension system
MNT-00083,EV-00025,2025-06-25 16:35:08.893170,2025-06-26 16:35:08.893170,Cooling,Coolant Pump Failure,Corrective,22,4619,False,WS-010,TECH-020,High,42,133339,Resolved Coolant Pump Failure in Cooling system
MNT-00163,EV-00004,2025-06-27 16:35:08.893811,2025-06-29 16:35:08.893811,Power Electronics,DC-DC Converter Failure,Predictive,19,3467,False,WS-001,TECH-026,High,8,109492,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00081,EV-00055,2025-06-30 16:35:08.893155,2025-07-01 16:35:08.893155,Cooling,Radiator Blockage,Preventive,16,4431,False,WS-009,TECH-027,Low,8,64228,Resolved Radiator Blockage in Cooling system
MNT-00167,EV-00013,2025-06-30 16:35:08.893842,2025-07-05 16:35:08.893842,Brake,Pad Wear Critical,Corrective,12,812,True,WS-009,TECH-015,Medium,18,90025,Resolved Pad Wear Critical in Brake system
MNT-00197,EV-00057,2025-07-01 16:35:08.894083,2025-07-03 16:35:08.894083,BMS,Communication Error,Corrective,13,2152,True,WS-003,TECH-001,Low,31,24166,Resolved Communication Error in BMS system
MNT-00109,EV-00006,2025-07-04 16:35:08.893381,2025-07-09 16:35:08.893381,Drivetrain,Gear Reduction Unit Wear,Predictive,17,3422,False,WS-007,TECH-040,Medium,34,9863,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00014,EV-00061,2025-07-07 16:35:08.892616,2025-07-11 16:35:08.892616,Power Electronics,DC-DC Converter Failure,Preventive,13,339,True,WS-008,TECH-036,High,41,126291,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00068,EV-00082,2025-07-07 16:35:08.893050,2025-07-14 16:35:08.893050,Brake,Hydraulic Leak,Preventive,18,1245,False,WS-005,TECH-043,High,21,107946,Resolved Hydraulic Leak in Brake system
MNT-00049,EV-00036,2025-07-09 16:35:08.892896,2025-07-12 16:35:08.892896,Power Electronics,Inverter Overheating,Corrective,2,3892,False,WS-006,TECH-041,Medium,47,146716,Resolved Inverter Overheating in Power Electronics system
MNT-00096,EV-00085,2025-07-10 16:35:08.893273,2025-07-12 16:35:08.893273,Power Electronics,DC-DC Converter Failure,Corrective,23,1464,False,WS-004,TECH-024,Low,41,22670,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00125,EV-00012,2025-07-10 16:35:08.893509,2025-07-12 16:35:08.893509,Suspension,Shock Absorber Failure,Corrective,17,3118,True,WS-002,TECH-047,Medium,35,59027,Resolved Shock Absorber Failure in Suspension system
MNT-00110,EV-00099,2025-07-11 16:35:08.893389,2025-07-13 16:35:08.893389,Power Electronics,Inverter Overheating,Preventive,20,3763,True,WS-004,TECH-014,High,42,76190,Resolved Inverter Overheating in Power Electronics system
MNT-00098,EV-00055,2025-07-12 16:35:08.893289,2025-07-16 16:35:08.893289,Charging,Onboard Charger Fault,Preventive,5,2739,True,WS-004,TECH-014,Critical,4,30917,Resolved Onboard Charger Fault in Charging system
MNT-00178,EV-00080,2025-07-13 16:35:08.893930,2025-07-19 16:35:08.893930,Suspension,Spring Fatigue,Preventive,4,3639,True,WS-004,TECH-046,High,11,68588,Resolved Spring Fatigue in Suspension system
MNT-00031,EV-00074,2025-07-15 16:35:08.892753,2025-07-20 16:35:08.892753,Motor,Bearing Wear,Predictive,10,2078,True,WS-004,TECH-018,Critical,13,132235,Resolved Bearing Wear in Motor system
MNT-00158,EV-00099,2025-07-15 16:35:08.893772,2025-07-22 16:35:08.893772,Power Electronics,Inverter Overheating,Preventive,24,4104,True,WS-005,TECH-048,Medium,31,28397,Resolved Inverter Overheating in Power Electronics system
